MOLECULE,ROUTE,TECHNICAL_SPECIFICATIONS,ATC_CODE,_BRAND_CANDIDATE,_BRAND_CANDIDATE_N,_FDA_BRAND_N,_FDA_GENERIC_N,_GENERIC_FROM_BRAND,_GENERIC_BEST,_GENERIC_BASE,_ROUTE_N,_STRENGTHS,_FORMS,_SIG3
Rifaximin,Oral:,200 mg Tablet ,A07AA11 ,,,,STREPTOKINASE,STREPTOKINASE,RIFAXIMIN,RIFAXIMIN,PO,['200MG'],['TABLET'],200MG|TABLET|PO
Rilpivirine,Oral:,25 mg (as Hydrochloride) Tablet ,J05AG05 ,,,,STREPTOKINASE,STREPTOKINASE,RILPIVIRINE,RILPIVIRINE,PO,['25MG'],['TABLET'],25MG|TABLET|PO
Risperidone,Oral:,1 mg Tablet *Primary Health Care,N05AX08 ,,,,STREPTOKINASE,STREPTOKINASE,RISPERIDONE,RISPERIDONE,PO,['1MG'],['TABLET'],1MG|TABLET|PO
Risperidone,Oral:,2 mg Tablet *Primary Health Care,N05AX08 ,,,,STREPTOKINASE,STREPTOKINASE,RISPERIDONE,RISPERIDONE,PO,['2MG'],['TABLET'],2MG|TABLET|PO
Risperidone,Oral:,3 mg Tablet *Primary Health Care,N05AX08 ,,,,STREPTOKINASE,STREPTOKINASE,RISPERIDONE,RISPERIDONE,PO,['3MG'],['TABLET'],3MG|TABLET|PO
Risperidone,Oral:,4 mg Tablet *Primary Health Care,N05AX08 ,,,,STREPTOKINASE,STREPTOKINASE,RISPERIDONE,RISPERIDONE,PO,['4MG'],['TABLET'],4MG|TABLET|PO
Risperidone,Oral:,1 mg Orodispersible tablet (ODT) *Primary Health Care,N05AX08 ,,,,STREPTOKINASE,STREPTOKINASE,RISPERIDONE,RISPERIDONE,PO,['1MG'],['TABLET'],1MG|TABLET|PO
Risperidone,Oral:,2 mg Orodispersible tablet (ODT) *Primary Health Care,N05AX08 ,,,,STREPTOKINASE,STREPTOKINASE,RISPERIDONE,RISPERIDONE,PO,['2MG'],['TABLET'],2MG|TABLET|PO
Risperidone,Oral:,1 mg/mL Oral Solution in 100 mL *Primary Health Care,N05AX08 ,,,,STREPTOKINASE,STREPTOKINASE,RISPERIDONE,RISPERIDONE,PO,"['100ML', '1MG']",['SOLUTION'],"100ML,1MG|SOLUTION|PO"
Risperidone,Inj.:,25 mg Modified Release (MR) Powder for suspension Vial + 2 mL diluent in pre-filled syringe (IM) *Primary Health Care,N05AX08 ,,,,STREPTOKINASE,STREPTOKINASE,RISPERIDONE,RISPERIDONE,INJ.,"['25MG', '2ML']","['PRE-FILLED SYRINGE', 'SUSPENSION', 'VIAL']","25MG,2ML|PRE-FILLED SYRINGE,SUSPENSION,VIAL|INJ."
Risperidone,Inj.:,37.5 mg Modified Release (MR) Powder for suspension Vial + 2 mL diluent in pre-filled syringe (IM) *Primary Health Care,N05AX08 ,,,,STREPTOKINASE,STREPTOKINASE,RISPERIDONE,RISPERIDONE,INJ.,"['2ML', '37.5MG']","['PRE-FILLED SYRINGE', 'SUSPENSION', 'VIAL']","2ML,37.5MG|PRE-FILLED SYRINGE,SUSPENSION,VIAL|INJ."
Risperidone,Inj.:,50 mg Polonged Release (PR) suspension for injection + 2 mL diluent (IM)(This should not be administered to patients with dementia-related psychoses because of high risk of cardiovascular and infectiious related deaths.) ,N05AX08 ,,,,STREPTOKINASE,STREPTOKINASE,RISPERIDONE,RISPERIDONE,INJ.,"['2ML', '50MG']",['SUSPENSION'],"2ML,50MG|SUSPENSION|INJ."
Rituximab,Inj.:,10 mg/mL in 10 mL Vial (IV) ,L01FA01 ,,,,STREPTOKINASE,STREPTOKINASE,RITUXIMAB,RITUXIMAB,INJ.,"['10MG', '10ML']",['VIAL'],"10MG,10ML|VIAL|INJ."
Rituximab,Inj.:,10 mg/mL in 50 mL Vial (IV) ,L01FA01 ,,,,STREPTOKINASE,STREPTOKINASE,RITUXIMAB,RITUXIMAB,INJ.,"['10MG', '50ML']",['VIAL'],"10MG,50ML|VIAL|INJ."
Rivaroxaban,Oral:,15 mg Film-coated tablet ,B01AF01 ,,,,STREPTOKINASE,STREPTOKINASE,RIVAROXABAN,RIVAROXABAN,PO,['15MG'],['TABLET'],15MG|TABLET|PO
Rivaroxaban,Oral:,20 mg Film-coated tablet ,B01AF01 ,,,,STREPTOKINASE,STREPTOKINASE,RIVAROXABAN,RIVAROXABAN,PO,['20MG'],['TABLET'],20MG|TABLET|PO
Rivastigmine,Oral:,1.5 mg (as Hydrogen tartrate) Capsule ,N06DA03 ,,,,STREPTOKINASE,STREPTOKINASE,RIVASTIGMINE,RIVASTIGMINE,PO,['1.5MG'],['CAPSULE'],1.5MG|CAPSULE|PO
Rivastigmine,Oral:,3 mg (as Hydrogen tartrate) Capsule ,N06DA03 ,,,,STREPTOKINASE,STREPTOKINASE,RIVASTIGMINE,RIVASTIGMINE,PO,['3MG'],['CAPSULE'],3MG|CAPSULE|PO
Rivastigmine,Oral:,6 mg (as Hydrogen tartrate) Capsule ,N06DA03 ,,,,STREPTOKINASE,STREPTOKINASE,RIVASTIGMINE,RIVASTIGMINE,PO,['6MG'],['CAPSULE'],6MG|CAPSULE|PO
Rocuronium,Inj.:,10 mg/mL (as Bromide) in 5 mL Ampul/Vial (IV) ,M03AC09 ,,,,STREPTOKINASE,STREPTOKINASE,ROCURONIUM,ROCURONIUM,INJ.,"['10MG', '5ML']","['AMPUL', 'VIAL']","10MG,5ML|AMPUL,VIAL|INJ."
Ropivacaine,Inj.:,10 mg/mL (as Hydrochloride) in 10 mL Ampul (IV) ,N01BB09 ,,,,STREPTOKINASE,STREPTOKINASE,ROPIVACAINE,ROPIVACAINE,INJ.,"['10MG', '10ML']",['AMPUL'],"10MG,10ML|AMPUL|INJ."
Rosuvastatin,Oral:,10 mg (as Calcium) Tablet *Primary Health Care,C10AA07 ,,,,STREPTOKINASE,STREPTOKINASE,ROSUVASTATIN,ROSUVASTATIN,PO,['10MG'],['TABLET'],10MG|TABLET|PO
Rosuvastatin,Oral:,20 mg (as Calcium) Tablet *Primary Health Care,C10AA07 ,,,,STREPTOKINASE,STREPTOKINASE,ROSUVASTATIN,ROSUVASTATIN,PO,['20MG'],['TABLET'],20MG|TABLET|PO
Rotavirus Vaccine,Oral:,"1.5 mL Suspension in Pre-filled glass syringe 

Contains:
Monovalent G1P[8] strain, Live, attenuated, containing NLT 10^6.0 cell culture infectious dose ",J07BH01,,,,STREPTOKINASE,STREPTOKINASE,ROTAVIRUS VACCINE,ROTAVIRUS VACCINE,PO,['1.5ML'],['SUSPENSION'],1.5ML|SUSPENSION|PO
Rotavirus Vaccine,Oral:,"1.5 mL Suspension in 3 mL ready-to-use plastic tube (sterile polyethylene squeezable tube with nozzle fitted with a tip seal and a tube cap (polypropylene)) 

Contains:
Monovalent G1P[8] strain, Live, attenuated, containing NLT 10^6.0 cell culture infectious dose ",J07BH01,,,,STREPTOKINASE,STREPTOKINASE,ROTAVIRUS VACCINE,ROTAVIRUS VACCINE,PO,"['1.5ML', '3ML']","['CAPSULE', 'SUSPENSION']","1.5ML,3ML|CAPSULE,SUSPENSION|PO"
Rotavirus Vaccine,Oral:,"2 mL Solution in 2 mL single dose ready-to-use plastic tube (single dose plastic dosing tube in individual foil pouch per box) 

Contains:
Pentavalent G1, G2, G3, G4, and P1A[8] strains, live, attenuated, containing live reassortant rotaviruses - G1, G2, G3, G4 and P1A[8] with a minimum of 2.0-2.8 x 10^6 infectious units (IU) per reassortant dose ",J07BH01,,,,STREPTOKINASE,STREPTOKINASE,ROTAVIRUS VACCINE,ROTAVIRUS VACCINE,PO,"['1G', '2G', '2ML', '3G']",['SOLUTION'],"1G,2G,2ML,3G|SOLUTION|PO"
Sacubitril + Valsartan,Oral:,24.3 mg + 25.7 mg Tablet (Restricted use for acute hypertensive emergencies in patients less than 18 years old with extreme caution due to rapid and prolonged fall in blood pressure) ,C09DX04 ,,,,STREPTOKINASE,STREPTOKINASE,SACUBITRIL + VALSARTAN,SACUBITRIL + VALSARTAN,PO,"['24.3MG', '25.7MG']",['TABLET'],"24.3MG,25.7MG|TABLET|PO"
Sacubitril + Valsartan,Oral:,"48.6 ,g + 51.4 mg Tablet (Restricted use for acute hypertensive emergencies in patients less than 18 years old with extreme caution due to rapid and prolonged fall in blood pressure) ",C09DX04 ,,,,STREPTOKINASE,STREPTOKINASE,SACUBITRIL + VALSARTAN,SACUBITRIL + VALSARTAN,PO,"['48.6G', '51.4MG']",['TABLET'],"48.6G,51.4MG|TABLET|PO"
Sacubitril + Valsartan,Oral:,97.2 mg + 102.8 mg Tablet (Restricted use for acute hypertensive emergencies in patients less than 18 years old with extreme caution due to rapid and prolonged fall in blood pressure) ,C09DX04 ,,,,STREPTOKINASE,STREPTOKINASE,SACUBITRIL + VALSARTAN,SACUBITRIL + VALSARTAN,PO,"['102.8MG', '97.2MG']",['TABLET'],"102.8MG,97.2MG|TABLET|PO"
Salbutamol,Oral:,2 mg/5 mL (as Sulfate) Syrup in 60 mL *Primary Health Care,R03AC02 ,,,,STREPTOKINASE,STREPTOKINASE,SALBUTAMOL,SALBUTAMOL,PO,"['2MG/5ML', '60ML']",['SYRUP'],"2MG/5ML,60ML|SYRUP|PO"
Salbutamol,Inhalation:,200 mcg/dose (as Sulfate) DPI with appropriate accompanying dispenser ,R03AC02 ,,,,STREPTOKINASE,STREPTOKINASE,SALBUTAMOL,SALBUTAMOL,INH,['200MCG'],['UNSPECIFIED'],200MCG|UNSPECIFIED|INH
Salbutamol,Inhalation:,"100 mcg/dose (as Sulfate) x 200 actuations, MDI *Primary Health Care",R03AC02 ,,,,STREPTOKINASE,STREPTOKINASE,SALBUTAMOL,SALBUTAMOL,INH,['100MCG'],['UNSPECIFIED'],100MCG|UNSPECIFIED|INH
Salbutamol,Inhalation:,"100 mcg/dose (as Sulfate) x 200 actuations, Breath actuated MDI *Primary Health Care",R03AC02 ,,,,STREPTOKINASE,STREPTOKINASE,SALBUTAMOL,SALBUTAMOL,INH,['100MCG'],['UNSPECIFIED'],100MCG|UNSPECIFIED|INH
Salbutamol,Inhalation:,1 mg/mL (as Sulfate) Respiratory solution in 2.5 mL Unit dose (For nebulization) *Primary Health Care,R03AC02 ,,,,STREPTOKINASE,STREPTOKINASE,SALBUTAMOL,SALBUTAMOL,INH,"['1MG', '2.5ML']",['SOLUTION'],"1MG,2.5ML|SOLUTION|INH"
Salbutamol,Inhalation:,2 mg/mL (as Sulfate) Respiratory solution in 2.5 mL Unit dose (For nebulization) *Primary Health Care,R03AC02 ,,,,STREPTOKINASE,STREPTOKINASE,SALBUTAMOL,SALBUTAMOL,INH,"['2.5ML', '2MG']",['SOLUTION'],"2.5ML,2MG|SOLUTION|INH"
Salicylic Acid,Topical:,5% Solution in 30 mL ,D01AE12 ,,,,STREPTOKINASE,STREPTOKINASE,SALICYLIC ACID,SALICYLIC ACID,TOP,"['30ML', '5%']",['SOLUTION'],"30ML,5%|SOLUTION|TOP"
Salicylic Acid,Topical:,5% Solution in 60 mL ,D01AE12 ,,,,STREPTOKINASE,STREPTOKINASE,SALICYLIC ACID,SALICYLIC ACID,TOP,"['5%', '60ML']",['SOLUTION'],"5%,60ML|SOLUTION|TOP"
Sambong (Blumea balsamifera),Oral:,250 mg Tablet (Fam. Compositae) ,Not Available,,,,STREPTOKINASE,STREPTOKINASE,SAMBONG (BLUMEA BALSAMIFERA),SAMBONG (BLUMEA BALSAMIFERA),PO,['250MG'],['TABLET'],250MG|TABLET|PO
Sambong (Blumea balsamifera),Oral:,500 mg Tablet (Fam. Compositae) ,Not Available,,,,STREPTOKINASE,STREPTOKINASE,SAMBONG (BLUMEA BALSAMIFERA),SAMBONG (BLUMEA BALSAMIFERA),PO,['500MG'],['TABLET'],500MG|TABLET|PO
Selegiline,Oral:,5 mg (as Hydrochloride) Tablet ,N04BD01 ,,,,STREPTOKINASE,STREPTOKINASE,SELEGILINE,SELEGILINE,PO,['5MG'],['TABLET'],5MG|TABLET|PO
Selenium,Topical:,2.5% (as Sulfide) Lotion in 100 mL ,D01AE13 ,,,,STREPTOKINASE,STREPTOKINASE,SELENIUM,SELENIUM,TOP,"['100ML', '2.5%']",['UNSPECIFIED'],"100ML,2.5%|UNSPECIFIED|TOP"
Sertraline,Oral:,50 mg (as Hydrochloride) Tablet *Primary Health Care,N06AB06 ,,,,STREPTOKINASE,STREPTOKINASE,SERTRALINE,SERTRALINE,PO,['50MG'],['TABLET'],50MG|TABLET|PO
Sevelamer,Oral:,800 mg (as Carbonate) Tablet ,V03AE02 ,,,,STREPTOKINASE,STREPTOKINASE,SEVELAMER,SEVELAMER,PO,['800MG'],['TABLET'],800MG|TABLET|PO
Sevelamer,Oral:,800 mg (as Carbonate) Powder for suspension ,V03AE02 ,,,,STREPTOKINASE,STREPTOKINASE,SEVELAMER,SEVELAMER,PO,['800MG'],['SUSPENSION'],800MG|SUSPENSION|PO
Sevoflurane,Inhalation:,in 250 mL Bottle ,N01AB08,,,,STREPTOKINASE,STREPTOKINASE,SEVOFLURANE,SEVOFLURANE,INH,['250ML'],['UNSPECIFIED'],250ML|UNSPECIFIED|INH
Silver Sulfadiazine,Topical:,1% Cream in 15 g Tube *Primary Health Care,D06BA01 ,,,,STREPTOKINASE,STREPTOKINASE,SILVER SULFADIAZINE,SILVER SULFADIAZINE,TOP,"['1%', '15G']",['CREAM'],"1%,15G|CREAM|TOP"
Silver Sulfadiazine,Topical:,1% Cream in 25 g Tube *Primary Health Care,D06BA01 ,,,,STREPTOKINASE,STREPTOKINASE,SILVER SULFADIAZINE,SILVER SULFADIAZINE,TOP,"['1%', '25G']",['CREAM'],"1%,25G|CREAM|TOP"
Silver Sulfadiazine,Topical:,Cream in 500 g Jar (Micronized) *Primary Health Care,D06BA01 ,,,,STREPTOKINASE,STREPTOKINASE,SILVER SULFADIAZINE,SILVER SULFADIAZINE,TOP,['500G'],['CREAM'],500G|CREAM|TOP
Simvastatin,Oral:,20 mg Tablet *Primary Health Care,C10AA01 ,,,,STREPTOKINASE,STREPTOKINASE,SIMVASTATIN,SIMVASTATIN,PO,['20MG'],['TABLET'],20MG|TABLET|PO
Simvastatin,Oral:,40 mg Tablet *Primary Health Care,C10AA01 ,,,,STREPTOKINASE,STREPTOKINASE,SIMVASTATIN,SIMVASTATIN,PO,['40MG'],['TABLET'],40MG|TABLET|PO
Sirolimus,Oral:,0.5 mg Tablet ,S01XA23,,,,STREPTOKINASE,STREPTOKINASE,SIROLIMUS,SIROLIMUS,PO,['0.5MG'],['TABLET'],0.5MG|TABLET|PO
Sirolimus,Oral:,1 mg Tablet ,S01XA23,,,,STREPTOKINASE,STREPTOKINASE,SIROLIMUS,SIROLIMUS,PO,['1MG'],['TABLET'],1MG|TABLET|PO
Sodium ,Inj.:,0.9% (as Chloride) in 2 mL Ampul (IV infusion) *Primary Health Care,A12CA,,,,STREPTOKINASE,STREPTOKINASE,SODIUM,SODIUM,INJ.,"['0.9%', '2ML']",['AMPUL'],"0.9%,2ML|AMPUL|INJ."
Sodium ,Inj.:,0.9% (as Chloride) in 2.5 mL Ampul (IV infusion) *Primary Health Care,A12CA,,,,STREPTOKINASE,STREPTOKINASE,SODIUM,SODIUM,INJ.,"['0.9%', '2.5ML']",['AMPUL'],"0.9%,2.5ML|AMPUL|INJ."
Sodium ,Inj.:,0.9% (as Chloride) in 5 mL Ampul (IV infusion) *Primary Health Care,A12CA,,,,STREPTOKINASE,STREPTOKINASE,SODIUM,SODIUM,INJ.,"['0.9%', '5ML']",['AMPUL'],"0.9%,5ML|AMPUL|INJ."
Sodium ,Inj.:,0.9% (as Chloride) in 10 mL Ampul (IV infusion) *Primary Health Care,A12CA,,,,STREPTOKINASE,STREPTOKINASE,SODIUM,SODIUM,INJ.,"['0.9%', '10ML']",['AMPUL'],"0.9%,10ML|AMPUL|INJ."
Sodium ,Inj.:,0.9% (as Chloride) in 20 mL Ampul (IV infusion) *Primary Health Care,A12CA,,,,STREPTOKINASE,STREPTOKINASE,SODIUM,SODIUM,INJ.,"['0.9%', '20ML']",['AMPUL'],"0.9%,20ML|AMPUL|INJ."
Sodium ,Inj.:,0.9% (as Chloride) in 50 mL Bottle/Bag (IV infusion) *Primary Health Care,A12CA,,,,STREPTOKINASE,STREPTOKINASE,SODIUM,SODIUM,INJ.,"['0.9%', '50ML']",['UNSPECIFIED'],"0.9%,50ML|UNSPECIFIED|INJ."
Sodium ,Inj.:,0.9% (as Chloride) in 100 mL Bottle/Bag (IV infusion) *Primary Health Care,A12CA,,,,STREPTOKINASE,STREPTOKINASE,SODIUM,SODIUM,INJ.,"['0.9%', '100ML']",['UNSPECIFIED'],"0.9%,100ML|UNSPECIFIED|INJ."
Sodium ,Inj.:,0.9% (as Chloride) in 200 mL Bottle/Bag (IV infusion) *Primary Health Care,A12CA,,,,STREPTOKINASE,STREPTOKINASE,SODIUM,SODIUM,INJ.,"['0.9%', '200ML']",['UNSPECIFIED'],"0.9%,200ML|UNSPECIFIED|INJ."
Sodium ,Inj.:,0.9% (as Chloride) in 500 mL Bottle/Bag (IV infusion) *Primary Health Care,A12CA,,,,STREPTOKINASE,STREPTOKINASE,SODIUM,SODIUM,INJ.,"['0.9%', '500ML']",['UNSPECIFIED'],"0.9%,500ML|UNSPECIFIED|INJ."
Sodium ,Inj.:,0.9% (as Chloride) in 1 L Bottle/Bag (IV infusion) *Primary Health Care,A12CA,,,,STREPTOKINASE,STREPTOKINASE,SODIUM,SODIUM,INJ.,['0.9%'],['UNSPECIFIED'],0.9%|UNSPECIFIED|INJ.
Sodium ,,"0.9% (as Chloride) in 1 L Bottle/Bag (For irrigation)Composed of:
Na+ = 154 mmol/L
Cl- = 154 mmol/L ",A12CA,,,,STREPTOKINASE,STREPTOKINASE,SODIUM,SODIUM,,"['0.9%', '154MMOL']",['UNSPECIFIED'],"0.9%,154MMOL|UNSPECIFIED"
Sodium Bicarbonate,Oral:,325 mg Tablet ,B05CB04 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM BICARBONATE,SODIUM BICARBONATE,PO,['325MG'],['TABLET'],325MG|TABLET|PO
Sodium Bicarbonate,Oral:,650 mg Tablet ,B05CB04 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM BICARBONATE,SODIUM BICARBONATE,PO,['650MG'],['TABLET'],650MG|TABLET|PO
Sodium Bicarbonate,Inj.:,1 mEq/mL in 10 mL Vial (Pediatric) ,B05CB04 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM BICARBONATE,SODIUM BICARBONATE,INJ.,['10ML'],['VIAL'],10ML|VIAL|INJ.
Sodium Bicarbonate,Inj.:,1 mEq/mL in 20 mL Ampul/Vial (Adult)(IV infusion) ,B05CB04 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM BICARBONATE,SODIUM BICARBONATE,INJ.,['20ML'],"['AMPUL', 'VIAL']","20ML|AMPUL,VIAL|INJ."
Sodium Bicarbonate,Inj.:,1 mEq/mL in 50 mL Ampul/Vial (Adult)(IV infusion) ,B05CB04 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM BICARBONATE,SODIUM BICARBONATE,INJ.,['50ML'],"['AMPUL', 'VIAL']","50ML|AMPUL,VIAL|INJ."
Sodium Bicarbonate,Inj.:,1 mEq/mL in 100 mL Ampul/Vial (Adult)(IV infusion) ,B05CB04 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM BICARBONATE,SODIUM BICARBONATE,INJ.,['100ML'],"['AMPUL', 'VIAL']","100ML|AMPUL,VIAL|INJ."
Sodium bicarbonate + Acid concentrates (Hemodialysis Solution),Inj.:,"650 g + Acid Concentrates (g/L) composed of:
Glucose = 0-49.5 g
Sodium chloride = 216.19-270.8 g
Potassium chloride = 5.25-6.7 g
Calcium chloride = 6.46-9.9 g
Magnesium chloride = 3.58-4.75 g
Glacial acetic acid = 8.1-8.46 g
Purified water = 1000 mL ",B05ZA,,,,STREPTOKINASE,STREPTOKINASE,SODIUM BICARBONATE + ACID CONCENTRATES (HEMODIALYSIS SOLUTION),SODIUM BICARBONATE + ACID CONCENTRATES (HEMODIALYSIS SOLUTION),INJ.,"['1000ML', '270.8G', '4.75G', '49.5G', '6.7G', '650G', '8.46G', '9.9G']",['UNSPECIFIED'],"1000ML,270.8G,4.75G,49.5G,6.7G,650G,8.46G,9.9G|UNSPECIFIED|INJ."
Sodium bicarbonate + Glutamic acid + Tartaric acid + Silicon resin (Gas Forming Agent),Oral:,470 mg + 70 mg + 420 mg + 25 mg Tablet ,Not available,,,,STREPTOKINASE,STREPTOKINASE,SODIUM BICARBONATE + GLUTAMIC ACID + TARTARIC ACID + SILICON RESIN (GAS FORMING AGENT),SODIUM BICARBONATE + GLUTAMIC ACID + TARTARIC ACID + SILICON RESIN (GAS FORMING AGENT),PO,"['25MG', '420MG', '470MG', '70MG']",['TABLET'],"25MG,420MG,470MG,70MG|TABLET|PO"
Sodium Calcium Edetate,Inj.:,200 mg/mL in 5 mL Ampul (IM) ,V03AB03,,,,STREPTOKINASE,STREPTOKINASE,SODIUM CALCIUM EDETATE,SODIUM CALCIUM EDETATE,INJ.,"['200MG', '5ML']",['AMPUL'],"200MG,5ML|AMPUL|INJ."
Sodium Chloride,Inj.:,2.5 mEq/mL in 20 mL Vial *Primary Health Care,B05XA03 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM CHLORIDE,SODIUM CHLORIDE,INJ.,['20ML'],['VIAL'],20ML|VIAL|INJ.
Sodium Chloride,Inj.:,2.5 mEq/mL in 50 mL Vial *Primary Health Care,B05XA03 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM CHLORIDE,SODIUM CHLORIDE,INJ.,['50ML'],['VIAL'],50ML|VIAL|INJ.
Sodium Dichloroisocyanurate,,3.5 mg Tablet (2 mg free chlorine)(To be used for water purification) ,D08AX ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM DICHLOROISOCYANURATE,SODIUM DICHLOROISOCYANURATE,,"['2MG', '3.5MG']",['TABLET'],"2MG,3.5MG|TABLET"
Sodium Dichloroisocyanurate,,8.68 mg Tablet (5 mg free chlorine)(To be used for water purification) ,D08AX ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM DICHLOROISOCYANURATE,SODIUM DICHLOROISOCYANURATE,,"['5MG', '8.68MG']",['TABLET'],"5MG,8.68MG|TABLET"
Sodium Dichloroisocyanurate,,12.5 mg Tablet (8 mg free chlorine)(To be used for water purification) ,D08AX ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM DICHLOROISOCYANURATE,SODIUM DICHLOROISOCYANURATE,,"['12.5MG', '8MG']",['TABLET'],"12.5MG,8MG|TABLET"
Sodium Dichloroisocyanurate,,17 mg Tablet (10 mg free chlorine)(To be used for water purification) ,D08AX ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM DICHLOROISOCYANURATE,SODIUM DICHLOROISOCYANURATE,,"['10MG', '17MG']",['TABLET'],"10MG,17MG|TABLET"
Sodium Dichloroisocyanurate,,67 mg Tablet (40 mg free chlorine)(To be used for water purification) ,D08AX ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM DICHLOROISOCYANURATE,SODIUM DICHLOROISOCYANURATE,,"['40MG', '67MG']",['TABLET'],"40MG,67MG|TABLET"
Sodium Hyaluronate,Ophthalmic:,0.1% (1 mg/mL) Ophthalmic drop solution in 5 mL ,S01KA ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM HYALURONATE,SODIUM HYALURONATE,OPHTHALMIC,"['0.1%', '1MG', '5ML']",['SOLUTION'],"0.1%,1MG,5ML|SOLUTION|OPHTHALMIC"
Sodium Hyaluronate,Ophthalmic:,0.1% (1 mg/mL) Ophthalmic drop solution in 15 mL ,S01KA ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM HYALURONATE,SODIUM HYALURONATE,OPHTHALMIC,"['0.1%', '15ML', '1MG']",['SOLUTION'],"0.1%,15ML,1MG|SOLUTION|OPHTHALMIC"
Sodium Hypochlorite,,Solution (1.25% available chlorine for water purification) ,D08AX07,,,,STREPTOKINASE,STREPTOKINASE,SODIUM HYPOCHLORITE,SODIUM HYPOCHLORITE,,['1.25%'],['SOLUTION'],1.25%|SOLUTION
Sodium Iodide,Oral:,Capsule (Radioactivity range of 0.8 - 100 mCi per capsule) ,V09FX03 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM IODIDE,SODIUM IODIDE,PO,['UNSPECIFIED'],['CAPSULE'],UNSPECIFIED|CAPSULE|PO
Sodium Iodide,Oral:,Capsule (Radioactivity range of 1.0 - 250 mCi per capsule) ,V09FX03 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM IODIDE,SODIUM IODIDE,PO,['UNSPECIFIED'],['CAPSULE'],UNSPECIFIED|CAPSULE|PO
Sodium Iodide,Oral:,Solution (Radioactivity range of 3.5 - 150 mCi per vial) ,V09FX03 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM IODIDE,SODIUM IODIDE,PO,['UNSPECIFIED'],"['SOLUTION', 'VIAL']","UNSPECIFIED|SOLUTION,VIAL|PO"
Sodium Nitrite,Inj.:,Powder (USP Grade) ,V03AB08 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM NITRITE,SODIUM NITRITE,INJ.,['UNSPECIFIED'],['UNSPECIFIED'],UNSPECIFIED|UNSPECIFIED|INJ.
Sodium Nitroprusside,Inj.:,50 mg Powder (IV infusion) ,C02DD01 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM NITROPRUSSIDE,SODIUM NITROPRUSSIDE,INJ.,['50MG'],['UNSPECIFIED'],50MG|UNSPECIFIED|INJ.
Sodium Sulfate,,Powder (USP Grade) ,A06AD13 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM SULFATE,SODIUM,,['UNSPECIFIED'],['UNSPECIFIED'],UNSPECIFIED|UNSPECIFIED
Sodium Thiosulfate,Inj.:,250 mg/mL in 50 mL Ampul (IV) ,V03AB ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM THIOSULFATE,SODIUM THIOSULFATE,INJ.,"['250MG', '50ML']",['AMPUL'],"250MG,50ML|AMPUL|INJ."
Sodium Thiosulfate,,2.5% Solution ,V03AB ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM THIOSULFATE,SODIUM THIOSULFATE,,['2.5%'],['SOLUTION'],2.5%|SOLUTION
Sodium Thiosulfate,,5% Solution ,V03AB ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM THIOSULFATE,SODIUM THIOSULFATE,,['5%'],['SOLUTION'],5%|SOLUTION
Sodium Valproate,Oral:,200 mg/5 mL Syrup in 100 mL Bottle *Primary Health Care,N03AG01 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM VALPROATE,SODIUM VALPROATE,PO,"['100ML', '200MG/5ML']",['SYRUP'],"100ML,200MG/5ML|SYRUP|PO"
Sodium Valproate + Valproic Acid,Oral:,333 mg + 145 mg Controlled Release (CR) tablet *Primary Health Care,N03AG01 ,,,,STREPTOKINASE,STREPTOKINASE,SODIUM VALPROATE + VALPROIC ACID,SODIUM VALPROATE + VALPROIC ACID,PO,"['145MG', '333MG']",['TABLET'],"145MG,333MG|TABLET|PO"
Sodium Valproate + Valproic Acid (Divalproex Sodium),Oral:,250 mg Tablet *Primary Health Care,N03AG01,,,,STREPTOKINASE,STREPTOKINASE,SODIUM VALPROATE + VALPROIC ACID (DIVALPROEX SODIUM),SODIUM VALPROATE + VALPROIC ACID (DIVALPROEX),PO,['250MG'],['TABLET'],250MG|TABLET|PO
